,from,to,distance
240,"Weißenburg, Bayern",Schierling,163298.7
241,"Weißenburg, Bayern",Schrobenhausen,71377.1
242,"Weißenburg, Bayern",Erding,138975.1
243,"Weißenburg, Bayern",Pfarrkirchen,245972.0
244,"Weißenburg, Bayern",Osterhofen,233526.2
245,"Weißenburg, Bayern",Eichstätt,28033.1
246,"Weißenburg, Bayern",Neuburg a.d. Donau,47531.9
247,"Weißenburg, Bayern",Kösching,53203.3
248,"Weißenburg, Bayern",Pfaffenhofen a.d. Ilm,92820.6
249,"Weißenburg, Bayern",München,137013.7
250,Freising,Augsburg,90989.3
251,Freising,Ingolstadt,57731.8
252,Freising,Regensburg,104919.7
253,Freising,Landshut,40455.1
254,Freising,Straubing,109461.2
255,Freising,Passau,157944.8
256,Freising,Deggendorf,111825.5
257,Freising,Burghausen,115626.5
258,Freising,"Weißenburg, Bayern",113819.3
259,Freising,Freising,0.0
260,Freising,Moosburg a.d. Isar,17623.8
261,Freising,Vilsbiburg,59429.6
262,Freising,Landau a.d. Isar,87711.3
263,Freising,Mainburg,31323.8
264,Freising,Abensberg,71384.4
265,Freising,Schierling,79917.6
266,Freising,Schrobenhausen,45381.6
267,Freising,Erding,20993.8
268,Freising,Pfarrkirchen,108479.3
269,Freising,Osterhofen,117461.7
270,Freising,Eichstätt,87048.5
271,Freising,Neuburg a.d. Donau,73717.4
272,Freising,Kösching,64143.4
273,Freising,Pfaffenhofen a.d. Ilm,30983.9
274,Freising,München,41288.4
275,Moosburg a.d. Isar,Augsburg,105118.8
276,Moosburg a.d. Isar,Ingolstadt,65691.8
277,Moosburg a.d. Isar,Regensburg,85742.1
278,Moosburg a.d. Isar,Landshut,21277.5
279,Moosburg a.d. Isar,Straubing,90283.6
280,Moosburg a.d. Isar,Passau,138767.2
281,Moosburg a.d. Isar,Deggendorf,92647.9
282,Moosburg a.d. Isar,Burghausen,106241.1
283,Moosburg a.d. Isar,"Weißenburg, Bayern",121779.3
284,Moosburg a.d. Isar,Freising,17623.8
285,Moosburg a.d. Isar,Moosburg a.d. Isar,0.0
286,Moosburg a.d. Isar,Vilsbiburg,38262.1
287,Moosburg a.d. Isar,Landau a.d. Isar,68533.7
288,Moosburg a.d. Isar,Mainburg,26697.4
289,Moosburg a.d. Isar,Abensberg,49426.9
290,Moosburg a.d. Isar,Schierling,60740.0
291,Moosburg a.d. Isar,Schrobenhausen,57314.2
292,Moosburg a.d. Isar,Erding,21132.9
293,Moosburg a.d. Isar,Pfarrkirchen,88917.3
294,Moosburg a.d. Isar,Osterhofen,98284.1
295,Moosburg a.d. Isar,Eichstätt,95008.5
296,Moosburg a.d. Isar,Neuburg a.d. Donau,81677.4
297,Moosburg a.d. Isar,Kösching,72103.5
298,Moosburg a.d. Isar,Pfaffenhofen a.d. Ilm,38430.4
299,Moosburg a.d. Isar,München,55917.4
300,Vilsbiburg,Augsburg,142474.5
301,Vilsbiburg,Ingolstadt,124602.4
302,Vilsbiburg,Regensburg,84610.7
303,Vilsbiburg,Landshut,21330.6
304,Vilsbiburg,Straubing,70157.0
305,Vilsbiburg,Passau,107669.9
306,Vilsbiburg,Deggendorf,72521.2
307,Vilsbiburg,Burghausen,60706.6
308,Vilsbiburg,"Weißenburg, Bayern",180689.9
309,Vilsbiburg,Freising,59429.6
310,Vilsbiburg,Moosburg a.d. Isar,38262.1
311,Vilsbiburg,Vilsbiburg,0.0
312,Vilsbiburg,Landau a.d. Isar,48407.0
313,Vilsbiburg,Mainburg,54906.4
314,Vilsbiburg,Abensberg,68955.4
315,Vilsbiburg,Schierling,59608.6
316,Vilsbiburg,Schrobenhausen,118479.3
317,Vilsbiburg,Erding,41522.4
318,Vilsbiburg,Pfarrkirchen,49375.2
319,Vilsbiburg,Osterhofen,71678.2
320,Vilsbiburg,Eichstätt,153919.1
321,Vilsbiburg,Neuburg a.d. Donau,140588.0
322,Vilsbiburg,Kösching,92844.9
323,Vilsbiburg,Pfaffenhofen a.d. Ilm,97854.5
324,Vilsbiburg,München,81119.9
325,Landau a.d. Isar,Augsburg,171635.0
326,Landau a.d. Isar,Ingolstadt,118660.2
327,Landau a.d. Isar,Regensburg,75882.6
328,Landau a.d. Isar,Landshut,49567.8
329,Landau a.d. Isar,Straubing,31143.1
330,Landau a.d. Isar,Passau,81511.9
331,Landau a.d. Isar,Deggendorf,33501.6
332,Landau a.d. Isar,Burghausen,74609.6
333,Landau a.d. Isar,"Weißenburg, Bayern",217524.5
334,Landau a.d. Isar,Freising,87711.3
335,Landau a.d. Isar,Moosburg a.d. Isar,68533.7
336,Landau a.d. Isar,Vilsbiburg,48407.0
337,Landau a.d. Isar,Landau a.d. Isar,0.0
338,Landau a.d. Isar,Mainburg,77791.2
339,Landau a.d. Isar,Abensberg,99288.7
340,Landau a.d. Isar,Schierling,69102.4
341,Landau a.d. Isar,Schrobenhausen,127662.9
