,from,to,distance
198,Deggendorf,Kösching,107.03689397073474
199,Deggendorf,Pfaffenhofen a.d. Ilm,111.92685859199567
200,Burghausen,München,93.32898695829647
201,Burghausen,Augsburg,145.12256710235408
202,Burghausen,Ingolstadt,123.65095782442773
203,Burghausen,Regensburg,109.93009249837966
204,Burghausen,Landshut,65.53987702794508
205,Burghausen,Straubing,82.71075848745834
206,Burghausen,Passau,65.51118589851689
207,Burghausen,Deggendorf,75.60068249866241
208,Burghausen,Burghausen,0.0
209,Burghausen,"Weißenburg, Bayern",167.7045458796352
210,Burghausen,Freising,84.95620553076193
211,Burghausen,Moosburg a.d. Isar,74.81860175769926
212,Burghausen,Vilsbiburg,47.77672274561071
213,Burghausen,Landau a.d. Isar,57.78653900601276
214,Burghausen,Mainburg,94.27527231202194
215,Burghausen,Abensberg,103.89117227427397
216,Burghausen,Schierling,91.19158888653187
217,Burghausen,Schrobenhausen,124.15464732772081
218,Burghausen,Erding,70.4705184994055
219,Burghausen,Pfarrkirchen,31.36496433021253
220,Burghausen,Osterhofen,61.949146847977055
221,Burghausen,Eichstätt,146.3417548315353
222,Burghausen,Neuburg a.d. Donau,137.86110355735778
223,Burghausen,Kösching,122.07381394774579
224,Burghausen,Pfaffenhofen a.d. Ilm,106.21250213689076
225,"Weißenburg, Bayern",München,108.81448527717141
226,"Weißenburg, Bayern",Augsburg,73.7598630442708
227,"Weißenburg, Bayern",Ingolstadt,44.524214463339526
228,"Weißenburg, Bayern",Regensburg,82.07936183032123
229,"Weißenburg, Bayern",Landshut,102.43424826132888
230,"Weißenburg, Bayern",Straubing,117.82581905853607
231,"Weißenburg, Bayern",Passau,189.20025636921855
232,"Weißenburg, Bayern",Deggendorf,147.02097397434687
233,"Weißenburg, Bayern",Burghausen,167.7045458796352
234,"Weißenburg, Bayern","Weißenburg, Bayern",0.0
235,"Weißenburg, Bayern",Freising,90.06491384530196
236,"Weißenburg, Bayern",Moosburg a.d. Isar,94.33764006134587
237,"Weißenburg, Bayern",Vilsbiburg,120.36393878022228
238,"Weißenburg, Bayern",Landau a.d. Isar,132.03437662428126
239,"Weißenburg, Bayern",Mainburg,73.46121182666155
240,"Weißenburg, Bayern",Abensberg,68.28362640894879
241,"Weißenburg, Bayern",Schierling,87.84062717422394
242,"Weißenburg, Bayern",Schrobenhausen,56.43330173750797
